id,survey_id,host_id,room_type,neighbourhood_cleansed,neighbourhood,number_of_reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minimum_nights,last_modified,latitude,longitude,location
16316120,1458,97178461,Shared room,Matara,Matara Four Gravets,0,0,1,1,1,2000,1,42939.96015,5.93624,80.516576,0101000020E61000008179C8940F21544002D4D4B2B5BE1740
16759998,1458,100335216,Shared room,Badulla,Ella,0,0,2,1,1,1000,1,42939.96015,6.867734,81.048587,0101000020E6100000B000A60C1C4354405182FE428F781B40
19005974,1458,73285475,Shared room,Hambantota,Katuwana,0,0,3,1,1,1000,1,42939.96015,6.259309,80.709027,0101000020E6100000C93EC8B2602D5440DE3B6A4C88091940
16316174,1458,97178461,Shared room,Matara,Matara Four Gravets,0,0,1,1,1,2000,2,42939.96015,5.938055,80.516524,0101000020E610000058E6ADBA0E215440AA656B7D91C01740
16548426,1458,81013827,Shared room,Hambantota,Thissamaharama,0,0,1,1,1,1000,1,42939.96015,6.257585,81.319564,0101000020E6100000A73E90BC73545440B9C2BB5CC4071940
16693124,1458,110550681,Shared room,Nuwara Eliya,Ambagamuwa,0,0,2,1,1,3000,1,42939.96015,6.942203,80.537692,0101000020E610000089D4B48B69225440B9C5FCDCD0C41B40
18443691,1458,106602376,Shared room,Hambantota,Thissamaharama,0,0,1,1,1,1000,1,42939.96015,6.268825,81.298083,0101000020E6100000971FB8CA1353544088635DDC46131940
13944144,1458,12020657,Shared room,Gampaha,Negombo,1,0,1,1,1,1000,1,42939.96015,7.229875,79.840502,0101000020E61000003F8EE6C8CAF5534008AC1C5A64EB1C40
9748233,1458,50285568,Shared room,Galle,Ambalangoda,1,0,16,1,1,1500,1,42939.96015,6.244951,80.046064,0101000020E610000078616BB6F2025440707D586FD4FA1840
14578917,1458,72397041,Shared room,Kandy,K.F.G. & G. Korale,0,0,1,1,1,1200,3,42939.96015,7.292193,80.63146,0101000020E6100000DC2E34D769285440037B4CA4342B1D40
10272761,1458,52825023,Shared room,Gampaha,Katana,2,0,1,1,1,1000,1,42939.96015,7.154995,79.871951,0101000020E6100000BA2D910BCEF75340912C6002B79E1C40
17160648,1458,23726581,Shared room,Galle,Habaraduwa,0,0,1,1,1,1000,1,42939.96015,6.011184,80.243599,0101000020E6100000A7954220970F544030F488D1730B1840
19636836,1458,94631455,Shared room,Colombo,Dehiwala-Mount Lavinia,0,0,2,1,1,1500,1,42939.96015,6.840978,79.87472,0101000020E61000000E4A9869FBF75340389F3A56295D1B40
16814146,1458,109115950,Shared room,Galle,Habaraduwa,1,0,1,1,1,1200,1,42939.96015,6.011596,80.248957,0101000020E61000000F4757E9EE0F5440C30E63D2DF0B1840
13037428,1458,72084062,Shared room,Polonnaruwa,Thamankaduwa,0,0,12,1,1,3500,1,42939.96015,7.943773,81.008601,0101000020E6100000A06D35EB8C4054402864E76D6CC61F40
12886011,1458,32230550,Shared room,Kandy,K.F.G. & G. Korale,2,0,12,1,1,1000,1,42939.96015,7.292993,80.644629,0101000020E61000006743FE9941295440E5D3635B062C1D40
8996076,1458,46989833,Shared room,Gampaha,Negombo,1,0,6,1,1,1000,1,42939.96013,7.194627,79.856328,0101000020E61000008BA9F413CEF65340A3ACDF4C4CC71C40
8112225,1458,42835527,Shared room,Kandy,K.F.G. & G. Korale,4,3,16,1,1,1000,1,42939.96013,7.282703,80.652011,0101000020E61000007768588CBA295440A2EC2DE57C211D40
19005195,1458,73285475,Shared room,Hambantota,Katuwana,0,0,3,1,1,1000,5,42939.96013,6.25809,80.709964,0101000020E61000009755D80C702D5440D5B2B5BE48081940
783262,1458,4139189,Shared room,Kandy,K.F.G. & G. Korale,1,0,4,1,1,4000,1,42939.96013,7.260767,80.603734,0101000020E6100000EE5EEE93A32654400F812381060B1D40
18501596,1458,114663248,Shared room,Gampaha,Negombo,0,0,4,1,1,1000,1,42939.96013,7.216353,79.841185,0101000020E6100000B0389CF9D5F55340E2900DA48BDD1C40
9564826,1458,41130618,Shared room,Trincomalee,Kuchchaveli,1,0,1,1,1,1700,1,42939.96013,8.690547,81.192999,0101000020E6100000494A7A185A4C5440ABB35A608F612140
6773594,1458,35462703,Shared room,Mannar,Mannar Town,2,0,16,1,1,3900,1,42939.96013,9.098927,79.700078,0101000020E61000008BA9F413CEEC5340FE614B8FA6322240
16316338,1458,97178461,Shared room,Matara,Matara Four Gravets,0,0,1,1,1,2000,1,42939.96013,5.935975,80.516492,0101000020E6100000522976340E215440917EFB3A70BE1740
16316379,1458,97178461,Shared room,Matara,Matara Four Gravets,0,0,1,1,1,2000,1,42939.96013,5.93779,80.516315,0101000020E6100000CBDB114E0B215440381092054CC01740
16316249,1458,97178461,Shared room,Matara,Matara Four Gravets,0,0,1,1,1,2000,1,42939.96013,5.93673,80.516152,0101000020E6100000F6F065A20821544073BA2C2636BF1740
16316213,1458,97178461,Shared room,Matara,Matara Four Gravets,0,0,1,1,1,2000,1,42939.96013,5.936024,80.515832,0101000020E6100000BD8E3864032154409C1551137DBE1740
